Rk,Team,Seed,Date,PTS,,Opp,Opp Seed,Result,Round,Region,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1,Arizona State,11,2023-03-15 NCAA,98,N,Nevada,11,W 98-73,First 4,West,200,35,55,.636,24,34,.706,11,21,.524,17,24,.708,98,25,52,.481,14,31,.452,11,21,.524,12,14,.857,73
2,FDU,16,2023-03-15 NCAA,84,N,Texas Southern,16,W 84-61,First 4,East,200,23,46,.500,12,19,.632,11,27,.407,27,31,.871,84,26,62,.419,25,45,.556,1,17,.059,8,9,.889,61
3,Texas A&M–Corpus Christi,16,2023-03-14 NCAA,75,N,Southeast Missouri State,16,W 75-71,First 4,South,200,22,57,.386,18,39,.462,4,18,.222,27,35,.771,75,27,57,.474,19,31,.613,8,26,.308,9,20,.450,71
4,Nevada,11,2023-03-15 NCAA,73,N,Arizona State,11,L 73-98,First 4,West,200,25,52,.481,14,31,.452,11,21,.524,12,14,.857,73,35,55,.636,24,34,.706,11,21,.524,17,24,.708,98
5,Southeast Missouri State,16,2023-03-14 NCAA,71,N,Texas A&M–Corpus Christi,16,L 71-75,First 4,South,200,27,57,.474,19,31,.613,8,26,.308,9,20,.450,71,22,57,.386,18,39,.462,4,18,.222,27,35,.771,75
6,Texas Southern,16,2023-03-15 NCAA,61,N,FDU,16,L 61-84,First 4,East,200,26,62,.419,25,45,.556,1,17,.059,8,9,.889,61,23,46,.500,12,19,.632,11,27,.407,27,31,.871,84
7,Pittsburgh,11,2023-03-14 NCAA,60,N,Mississippi State,11,W 60-59,First 4,Midwest,200,21,54,.389,12,35,.343,9,19,.474,9,15,.600,60,24,63,.381,18,40,.450,6,23,.261,5,7,.714,59
8,Mississippi State,11,2023-03-14 NCAA,59,N,Pittsburgh,11,L 59-60,First 4,Midwest,200,24,63,.381,18,40,.450,6,23,.261,5,7,.714,59,21,54,.389,12,35,.343,9,19,.474,9,15,.600,60
