Rk,Team,Seed,Date,PTS,,Opp,Opp Seed,Result,Round,Region,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
20,Indiana,4,2023-03-19 NCAA,69,N,Miami (FL),5,L 69-85,Rnd of 32,Midwest,200,26,63,.413,18,38,.474,8,25,.320,9,14,.643,69,34,70,.486,25,47,.532,9,23,.391,8,13,.615,85
21,Kentucky,6,2023-03-19 NCAA,69,N,Kansas State,3,L 69-75,Rnd of 32,East,199,26,63,.413,22,43,.512,4,20,.200,13,17,.765,69,26,54,.481,21,33,.636,5,21,.238,18,22,.818,75
22,UCLA,2,2023-03-18 NCAA,68,N,Northwestern,7,W 68-63,Rnd of 32,West,200,22,44,.500,16,29,.552,6,15,.400,18,21,.857,68,22,59,.373,16,37,.432,6,22,.273,13,15,.867,63
23,Penn State,10,2023-03-18 NCAA,66,N,Texas,2,L 66-71,Rnd of 32,Midwest,200,25,60,.417,17,32,.531,8,28,.286,8,11,.727,66,31,61,.508,30,48,.625,1,13,.077,8,11,.727,71
24,Tennessee,4,2023-03-18 NCAA,65,N,Duke,5,W 65-52,Rnd of 32,East,200,23,57,.404,14,36,.389,9,21,.429,10,13,.769,65,21,49,.429,15,27,.556,6,22,.273,4,7,.571,52
25,Auburn,9,2023-03-18 NCAA,64,N,Houston,1,L 64-81,Rnd of 32,Midwest,200,20,53,.377,15,37,.405,5,16,.313,19,36,.528,64,25,60,.417,18,38,.474,7,22,.318,24,29,.828,81
26,Northwestern,7,2023-03-18 NCAA,63,N,UCLA,2,L 63-68,Rnd of 32,West,200,22,59,.373,16,37,.432,6,22,.273,13,15,.867,63,22,44,.500,16,29,.552,6,15,.400,18,21,.857,68
27,Missouri,7,2023-03-18 NCAA,63,N,Princeton,15,L 63-78,Rnd of 32,South,200,25,61,.410,19,39,.487,6,22,.273,7,7,1.000,63,27,62,.435,15,29,.517,12,33,.364,12,15,.800,78
28,Marquette,2,2023-03-19 NCAA,60,N,Michigan State,7,L 60-69,Rnd of 32,East,200,20,52,.385,9,25,.360,11,27,.407,9,14,.643,60,24,54,.444,22,38,.579,2,16,.125,19,23,.826,69
29,St. Mary's (CA),5,2023-03-19 NCAA,55,N,Connecticut,4,L 55-70,Rnd of 32,West,200,19,49,.388,15,35,.429,4,14,.286,13,19,.684,55,27,50,.540,17,28,.607,10,22,.455,6,7,.857,70
30,Furman,13,2023-03-18 NCAA,52,N,San Diego State,5,L 52-75,Rnd of 32,South,200,16,50,.320,10,24,.417,6,26,.231,14,18,.778,52,29,58,.500,23,38,.605,6,20,.300,11,14,.786,75
31,Duke,5,2023-03-18 NCAA,52,N,Tennessee,4,L 52-65,Rnd of 32,East,200,21,49,.429,15,27,.556,6,22,.273,4,7,.571,52,23,57,.404,14,36,.389,9,21,.429,10,13,.769,65
32,Maryland,8,2023-03-18 NCAA,51,N,Alabama,1,L 51-73,Rnd of 32,South,200,19,54,.352,18,46,.391,1,8,.125,12,21,.571,51,23,58,.397,17,37,.459,6,21,.286,21,28,.750,73
