Coach,School,Conference,,W,L,W-L%,AP Pre,AP Post,NCAA Tournament,,Since,W,L,W-L%,NCAA,S16,FF,Chmp,,W,L,W-L%,NCAA,S16,FF,Chmp
Matt Lottich,Valparaiso,MVC,,11,21,.344,,,,,2016-17,108,117,.480,,,,,,108,117,.480,,,,
Bart Lundy,Milwaukee,Horizon,,22,12,.647,,,,,2022-23,22,12,.647,,,,,,118,99,.544,,,,
Steve Lutz,Texas A&M-Corpus Christi,Southland,,24,11,.686,,,Lost First Round,,2021-22,47,23,.671,2,,,,,47,23,.671,2,,,
Carmen Maciariello,Siena,MAAC,,17,15,.531,,,,,2019-20,64,44,.593,,,,,,64,44,.593,,,,
Tony Madlock,Alabama State,SWAC,,8,23,.258,,,,,2022-23,8,23,.258,,,,,,24,43,.358,,,,
Mark Madsen,Utah Valley,WAC,,28,9,.757,,,,,2019-20,70,51,.579,,,,,,70,51,.579,,,,
Mike Magpayo,UC-Riverside,Big West,,22,12,.647,,,,,2020-21,52,32,.619,,,,,,52,32,.619,,,,
Chris Markwood,Maine,AEC,,13,17,.433,,,,,2022-23,13,17,.433,,,,,,13,17,.433,,,,
Bob Marlin,Louisiana,Sun Belt,,26,8,.765,,,Lost First Round,,2010-11,247,175,.585,2,,,,,472,306,.607,4,,,
Tim Marrion,Idaho,Big Sky,,0,1,.000,,,,,2022-23,0,1,.000,,,,,,0,1,.000,,,,
Erik Martin,South Carolina State,MEAC,,5,26,.161,,,,,2022-23,5,26,.161,,,,,,5,26,.161,,,,
Frank Martin,UMass,A-10,,15,16,.484,,,,,2022-23,15,16,.484,,,,,,303,217,.583,5,2,1,
Mike Martin,Brown,Ivy,,14,13,.519,,,,,2012-13,135,153,.469,,,,,,135,153,.469,,,,
Bashir Mason,St. Peter's,MAAC,,14,18,.438,,,,,2022-23,14,18,.438,,,,,,179,148,.547,,,,
Thad Matta,Butler,Big East,,14,18,.438,,,,,2000-01,38,26,.594,1,,,,,453,172,.725,13,6,2,
Dusty May,Florida Atlantic,CUSA,,35,4,.897,,25,Lost National Semifinal,,2018-19,101,60,.627,1,1,1,,,101,60,.627,1,1,1,
Jay McAuley,Wofford,Southern,,5,4,.556,,,,,2019-20,58,42,.580,,,,,,58,42,.580,,,,
Fran McCaffery,Iowa,Big Ten,,19,14,.576,,,Lost First Round,,2010-11,261,176,.597,7,,,,,512,353,.592,12,,,
Grant McCasland,North Texas,CUSA,,31,7,.816,,,,,2017-18,135,65,.675,1,,,,,155,77,.668,1,,,
Robert McCullum,Florida A&M,SWAC,,7,22,.241,,,,,2017-18,61,110,.357,,,,,,145,231,.386,,,,
Greg McDermott,Creighton,Big East,,24,13,.649,9,,Lost Regional Final,,2010-11,300,150,.667,8,2,,,,449,281,.615,11,2,,
Nick McDevitt,Middle Tennessee,CUSA,,19,14,.576,,,,,2018-19,69,87,.442,,,,,,167,153,.522,1,,,
Mike McGarvey,Lafayette,Patriot,,2,3,.400,,,,,2022-23,2,3,.400,,,,,,2,3,.400,,,,
Kevin McGeehan,Campbell,Big South,,16,18,.471,,,,,2013-14,155,164,.486,,,,,,155,164,.486,,,,
Ritchie McKay,Liberty,A-Sun,,27,9,.750,,,,,2007-08,226,113,.667,2,,,,,391,271,.591,3,,,
Aaron McKie,Temple,AAC,,16,16,.500,,,,,2019-20,52,56,.481,,,,,,52,56,.481,,,,
Matt McKillop,Davidson,A-10,,16,16,.500,,,,,2022-23,16,16,.500,,,,,,16,16,.500,,,,
David McLaughlin,Dartmouth,Ivy,,10,18,.357,,,,,2016-17,56,110,.337,,,,,,56,110,.337,,,,
Matt McMahon,LSU,SEC,,14,19,.424,,,,,2022-23,14,19,.424,,,,,,168,86,.661,3,,,
Bucky McMillan,Samford,Southern,,21,11,.656,,,,,2020-21,48,35,.578,,,,,,48,35,.578,,,,
Niko Medved,Colorado State,MWC,,15,18,.455,,,,,2018-19,92,64,.590,1,,,,,171,152,.529,1,,,
Marvin Menzies,Kansas City,Summit,,11,21,.344,,,,,2022-23,11,21,.344,,,,,,257,180,.588,5,,,
Tim Miles,San Jose State,MWC,,21,14,.600,,,,,2021-22,29,37,.439,,,,,,252,259,.493,2,,,
Archie Miller,Rhode Island,A-10,,9,22,.290,,,,,2022-23,9,22,.290,,,,,,215,143,.601,4,1,,
Sean Miller,Xavier,Big East,,27,10,.730,,13,Lost Regional Semifinal,,2004-05,147,57,.721,5,3,,,,449,166,.730,12,8,,
Wes Miller,Cincinnati,AAC,,23,13,.639,,,,,2021-22,41,28,.594,,,,,,226,163,.581,2,,,
Paul Mills,Oral Roberts,Summit,,30,5,.857,,,Lost First Round,,2017-18,106,84,.558,2,1,,,,106,84,.558,2,1,,
Jordan Mincy,Jacksonville,A-Sun,,13,16,.448,,,,,2021-22,34,26,.567,,,,,,34,26,.567,,,,
Dan Monson,Long Beach State,Big West,,17,16,.515,,,,,2007-08,254,258,.496,1,,,,,424,381,.527,3,1,,
Chris Mooney,Richmond,A-10,,15,18,.455,,,,,2005-06,327,262,.555,3,1,,,,345,274,.557,3,1,,
Mike Morrell,UNC Asheville,Big South,,27,8,.771,,,Lost First Round,,2018-19,73,76,.490,1,,,,,73,76,.490,1,,,
Porter Moser,Oklahoma,Big 12,,15,17,.469,,,,,2021-22,34,33,.507,,,,,,327,275,.543,2,2,1,
LeVelle Moton,North Carolina Central,MEAC,,18,12,.600,,,,,2009-10,246,184,.572,4,,,,,246,184,.572,4,,,
Bryan Mullins,Southern Illinois,MVC,,23,10,.697,,,,,2019-20,67,55,.549,,,,,,67,55,.549,,,,
Eric Musselman,Arkansas,SEC,,22,14,.611,10,,Lost Regional Semifinal,,2019-20,95,42,.693,3,3,,,,205,76,.730,6,4,,
Scott Nagy,Wright State,Horizon,,18,15,.545,,,,,2016-17,149,78,.656,2,,,,,339,241,.584,5,,,
Brett Nelson,Holy Cross,Patriot,,10,22,.312,,,,,2019-20,27,84,.243,,,,,,27,84,.243,,,,
Kyle Neptune,Villanova,Big East,,17,17,.500,16,,,,2022-23,17,17,.500,,,,,,33,33,.500,,,,
Darris Nichols,Radford,Big South,,21,15,.583,,,,,2021-22,32,33,.492,,,,,,32,33,.492,,,,
Nate Oats,Alabama,SEC,,31,6,.838,20,1,Lost Regional Semifinal,,2019-20,92,42,.687,3,2,,,,188,85,.689,6,2,,
Ryan Odom,Utah State,MWC,,26,9,.743,,,Lost First Round,,2021-22,44,25,.638,1,,,,,149,96,.608,2,,,
Eric Olen,UC-San Diego,Big West,,10,20,.333,,,,,2020-21,30,46,.395,,,,,,30,46,.395,,,,
Desmond Oliver,ETSU,Southern,,12,20,.375,,,,,2021-22,27,37,.422,,,,,,27,37,.422,,,,
T.J. Otzelberger,Iowa State,Big 12,,19,14,.576,,,Lost First Round,,2021-22,41,27,.603,2,1,,,,140,90,.609,4,1,,
Freddie Owens,Green Bay,Horizon,,1,10,.091,,,,,2022-23,1,10,.091,,,,,,1,10,.091,,,,
Matt Painter,Purdue,Big Ten,,29,6,.829,,3,Lost First Round,,2005-06,413,198,.676,14,6,,,,438,203,.683,15,6,,
Lamont Paris,South Carolina,SEC,,11,21,.344,,,,,2022-23,11,21,.344,,,,,,98,93,.513,1,,,
Joe Pasternack,UCSB,Big West,,27,8,.771,,,Lost First Round,,2017-18,132,53,.714,2,,,,,170,107,.614,2,,,
Josh Pastner,Georgia Tech,ACC,,15,18,.455,,,,,2016-17,109,114,.489,1,,,,,276,187,.596,5,,,
David Patrick,Sacramento State,Big Sky,,14,18,.438,,,,,2022-23,14,18,.438,,,,,,41,56,.423,,,,
Greg Paulus,Niagara,MAAC,,16,15,.516,,,,,2019-20,51,62,.451,,,,,,51,62,.451,,,,
Kenny Payne,Louisville,ACC,,4,28,.125,,,,,2022-23,4,28,.125,,,,,,4,28,.125,,,,
Bruce Pearl,Auburn,SEC,,21,13,.618,15,,Lost Second Round,,2014-15,187,111,.628,4,1,1,,,418,210,.666,12,5,1,
Ryan Pedon,Illinois State,MVC,,11,21,.344,,,,,2022-23,11,21,.344,,,,,,11,21,.344,,,,
John Pelphrey,Tennessee Tech,OVC,,16,17,.485,,,,,2019-20,41,82,.333,,,,,,190,208,.477,2,,,
Scott Pera,Rice,CUSA,,19,16,.543,,,,,2017-18,85,106,.445,,,,,,85,106,.445,,,,
Dwight Perry,Wofford,Southern,,12,12,.500,,,,,2022-23,12,12,.500,,,,,,12,12,.500,,,,
Leonard Perry,Pacific,WCC,,15,18,.455,,,,,2021-22,23,40,.365,,,,,,71,137,.341,,,,
Eric Peterson,South Dakota,Summit,,12,19,.387,,,,,2022-23,12,19,.387,,,,,,12,19,.387,,,,
Steve Pikiell,Rutgers,Big Ten,,19,15,.559,,,,,2016-17,117,106,.525,2,,,,,309,262,.541,3,,,
Richard Pitino,New Mexico,MWC,,22,12,.647,,,,,2021-22,35,31,.530,,,,,,194,168,.536,2,,,
Rick Pitino *,Iona,MAAC,,27,8,.771,,,Lost First Round,,2020-21,64,22,.744,2,,,,,834,293,.740,23,13,7,2
Mark Pope,BYU,WCC,,19,15,.559,,,,,2019-20,87,41,.680,1,,,,,164,97,.628,1,,,
Steve Prohm,Murray State,MVC,,17,15,.531,,,,,2011-12,121,44,.733,1,,,,,218,139,.611,4,1,,
Mark Prosser,Winthrop,Big South,,15,17,.469,,,,,2021-22,38,26,.594,,,,,,75,79,.487,,,,
Tony Pujol,North Alabama,A-Sun,,18,15,.545,,,,,2018-19,63,86,.423,,,,,,63,86,.423,,,,
Barclay Radebaugh,Charleston Southern,Big South,,10,21,.323,,,,,2005-06,226,320,.414,,,,,,226,320,.414,,,,
David Ragland,Evansville,MVC,,5,27,.156,,,,,2022-23,5,27,.156,,,,,,5,27,.156,,,,
Brett Reed,Lehigh,Patriot,,16,14,.533,,,,,2007-08,262,222,.541,2,,,,,262,222,.541,2,,,
Mike Rhoades,VCU,A-10,,27,8,.771,,,Lost First Round,,2017-18,129,61,.679,3,,,,,176,113,.609,3,,,
King Rice,Monmouth,CAA,,7,26,.212,,,,,2011-12,189,193,.495,,,,,,189,193,.495,,,,
Leon Rice,Boise State,MWC,,24,10,.706,,,Lost First Round,,2010-11,268,155,.634,4,,,,,268,155,.634,4,,,
Keith Richard,Louisiana-Monroe,Sun Belt,,11,21,.344,,,,,2010-11,152,252,.376,,,,,,302,369,.450,,,,
Bob Richey,Furman,Southern,,28,8,.778,,,Lost Second Round,,2017-18,139,54,.720,1,,,,,139,54,.720,1,,,
David Richman,North Dakota State,Summit,,16,17,.485,,,,,2014-15,175,114,.606,2,,,,,175,114,.606,2,,,
Ryan Ridder,UT-Martin,OVC,,19,14,.576,,,,,2021-22,27,36,.429,,,,,,75,81,.481,,,,
David Riley,Eastern Washington,Big Sky,,23,11,.676,,,,,2021-22,41,27,.603,,,,,,41,27,.603,,,,
Richie Riley,South Alabama,Sun Belt,,19,16,.543,,,,,2018-19,94,67,.584,,,,,,129,95,.576,,,,
Norm Roberts,Kansas,Big 12,,4,0,1.000,5,4,Lost Second Round,,2022-23,4,0,1.000,1,,,,,85,101,.457,1,,,
Daniyal Robinson,Cleveland State,Horizon,,21,14,.600,,,,,2022-23,21,14,.600,,,,,,21,14,.600,,,,
Lorenzo Romar,Pepperdine,WCC,,9,22,.290,,,,,1996-97,105,137,.434,,,,,,454,377,.546,7,3,,
Will Ryan,Green Bay,Horizon,,2,19,.095,,,,,2020-21,15,61,.197,,,,,,15,61,.197,,,,
Kelvin Sampson,Houston,AAC,,33,4,.892,3,2,Lost Regional Semifinal,,2014-15,232,74,.758,5,4,1,,,657,301,.686,19,7,2,
Ron Sanchez,Charlotte,CUSA,,22,14,.611,,,,,2018-19,72,78,.480,,,,,,72,78,.480,,,,
Levell Sanders,Binghamton,AEC,,13,18,.419,,,,,2021-22,25,35,.417,,,,,,25,35,.417,,,,
Paul Sather,North Dakota,Summit,,13,20,.394,,,,,2019-20,43,80,.350,,,,,,43,80,.350,,,,
Josh Schertz,Indiana State,MVC,,23,13,.639,,,,,2021-22,34,33,.507,,,,,,34,33,.507,,,,
Jon Scheyer,Duke,ACC,,27,9,.750,7,12,Lost Second Round,,2022-23,27,9,.750,1,,,,,27,9,.750,1,,,
Mark Schmidt,St. Bonaventure,A-10,,14,18,.438,,,,,2007-08,282,213,.570,3,,,,,364,303,.546,3,,,
Michael Schwartz,East Carolina,AAC,,16,17,.485,,,,,2022-23,16,17,.485,,,,,,16,17,.485,,,,
Joe Scott,Air Force,MWC,,14,18,.438,,,,,2000-01,81,119,.405,1,,,,,265,296,.472,1,,,
Bill Self,Kansas,Big 12,,24,8,.750,5,4,Lost Second Round,,2003-04,580,132,.815,19,11,4,2,,787,237,.769,24,14,4,2
Patrick Sellers,Central Connecticut,NEC,,10,22,.312,,,,,2021-22,18,46,.281,,,,,,18,46,.281,,,,
Herb Sendek,Santa Clara,WCC,,23,10,.697,,,,,2016-17,120,94,.561,,,,,,533,389,.578,8,1,,
Rob Senderoff,Kent State,MAC,,28,7,.800,,,Lost First Round,,2011-12,247,147,.627,2,,,,,247,147,.627,2,,,
Micah Shrewsberry,Penn State,Big Ten,,23,14,.622,,,Lost Second Round,,2021-22,37,31,.544,1,,,,,37,31,.544,1,,,
Phillip Shumpert,North Carolina A&T,CAA,,13,19,.406,,,,,2022-23,13,19,.406,,,,,,13,19,.406,,,,
Takayo Siddle,UNC Wilmington,CAA,,24,10,.706,,,,,2020-21,58,29,.667,,,,,,58,29,.667,,,,
Marty Simmons,Eastern Illinois,OVC,,9,22,.290,,,,,2021-22,14,48,.226,,,,,,198,223,.470,,,,
Todd Simon,Southern Utah,WAC,,22,12,.647,,,,,2016-17,118,106,.527,,,,,,127,114,.527,,,,
Pat Skerry,Towson,CAA,,21,12,.636,,,,,2011-12,193,185,.511,,,,,,193,185,.511,,,,
Mark Slessinger,New Orleans,Southland,,12,20,.375,,,,,2012-13,144,184,.439,1,,,,,144,184,.439,1,,,
Shaka Smart,Marquette,Big East,,29,7,.806,,6,Lost Second Round,,2021-22,48,20,.706,2,,,,,320,162,.664,10,1,1,
Steve Smiley,Northern Colorado,Big Sky,,12,20,.375,,,,,2020-21,45,47,.489,,,,,,45,47,.489,,,,
Byron Smith,Prairie View,SWAC,,13,19,.406,,,,,2015-16,113,113,.500,1,,,,,113,113,.500,1,,,
Craig Smith,Utah,Pac-12,,17,15,.531,,,,,2021-22,28,35,.444,,,,,,181,114,.614,2,,,
G.G. Smith,High Point,Big South,,14,17,.452,,,,,2021-22,17,20,.459,,,,,,73,118,.382,,,,
John Smith,Cal Poly,Big West,,8,25,.242,,,,,2019-20,26,89,.226,,,,,,26,89,.226,,,,
Kyle Smith,Washington State,Pac-12,,17,17,.500,,,,,2019-20,69,61,.531,,,,,,233,183,.560,,,,
Zach Spiker,Drexel,CAA,,17,15,.531,,,,,2016-17,93,118,.441,1,,,,,195,230,.459,1,,,
Preston Spradlin,Morehead State,OVC,,22,12,.647,,,,,2016-17,114,100,.533,1,,,,,114,100,.533,1,,,
Danny Sprinkle,Montana State,Big Sky,,25,10,.714,,,Lost First Round,,2019-20,81,43,.653,2,,,,,81,43,.653,2,,,
Jerry Stackhouse,Vanderbilt,SEC,,22,15,.595,,,,,2019-20,61,69,.469,,,,,,61,69,.469,,,,
Rick Stansbury,Western Kentucky,CUSA,,17,16,.515,,,,,2016-17,139,89,.610,,,,,,432,255,.629,6,,,
Travis Steele,Miami (OH),MAC,,12,20,.375,,,,,2022-23,12,20,.375,,,,,,82,70,.539,,,,
Dwayne Stephens,Western Michigan,MAC,,8,23,.258,,,,,2022-23,8,23,.258,,,,,,8,23,.258,,,,
RaShawn Stores,Manhattan,MAAC,,12,18,.400,,,,,2022-23,12,18,.400,,,,,,12,18,.400,,,,
Rod Strickland,LIU,NEC,,3,26,.103,,,,,2022-23,3,26,.103,,,,,,3,26,.103,,,,
Tony Stubblefield,DePaul,Big East,,10,23,.303,,,,,2021-22,25,39,.391,,,,,,27,51,.346,,,,
Jerome Tang,Kansas State,Big 12,,26,10,.722,,15,Lost Regional Final,,2022-23,26,10,.722,1,1,,,,26,10,.722,1,1,,
Brette Tanner,Abilene Christian,WAC,,13,17,.433,,,,,2021-22,38,28,.576,,,,,,38,28,.576,,,,
John Tauer,St. Thomas,Summit,,19,14,.576,,,,,2021-22,29,34,.460,,,,,,29,34,.460,,,,
Billy Taylor,Elon,CAA,,8,24,.250,,,,,2022-23,8,24,.250,,,,,,173,192,.474,1,,,
Dedrique Taylor,Cal State Fullerton,Big West,,20,13,.606,,,,,2013-14,141,161,.467,2,,,,,141,161,.467,2,,,
Rodney Terry,Texas,Big 12,,22,8,.733,12,5,Lost Regional Final,,2022-23,22,8,.733,1,1,,,,185,164,.530,2,1,,
Reggie Theus,Bethune-Cookman,SWAC,,12,20,.375,,,,,2021-22,21,41,.339,,,,,,115,169,.405,1,,,
Wayne Tinkle,Oregon State,Pac-12,,11,21,.344,,,,,2014-15,127,158,.446,2,1,,,,285,249,.534,5,1,,
Andrew Toole,Robert Morris,Horizon,,16,17,.485,,,,,2010-11,216,210,.507,1,,,,,216,210,.507,1,,,
Russ Turner,UC-Irvine,Big West,,23,12,.657,,,,,2010-11,265,170,.609,2,,,,,265,170,.609,2,,,
Brad Underwood *,Illinois,Big Ten,,20,13,.606,23,,Lost First Round,,2017-18,114,79,.591,3,,,,,223,106,.678,7,,,
Keith Urgo,Fordham,A-10,,25,8,.758,,,,,2022-23,25,8,.758,,,,,,25,8,.758,,,,
Drew Valentine,Loyola (IL),A-10,,10,21,.323,,,,,2021-22,35,29,.547,1,,,,,35,29,.547,1,,,
Chris Victor,Seattle,WAC,,20,12,.625,,,,,2021-22,43,21,.672,,,,,,43,21,.672,,,,
Darrell Walker,Little Rock,OVC,,10,21,.323,,,,,2018-19,61,86,.415,,,,,,61,86,.415,,,,
Brian Wardle,Bradley,MVC,,25,10,.714,,,,,2015-16,135,126,.517,1,,,,,230,191,.546,1,,,
Stan Waterman,Delaware State,MEAC,,6,24,.200,,,,,2021-22,8,50,.138,,,,,,8,50,.138,,,,
Michael White,Georgia,SEC,,16,16,.500,,,,,2022-23,16,16,.500,,,,,,259,144,.643,4,1,,
Jim Whitesell,Buffalo,MAC,,15,17,.469,,,,,2019-20,70,49,.588,,,,,,179,156,.534,,,,
Kevin Willard,Maryland,Big Ten,,22,13,.629,,,Lost Second Round,,2022-23,22,13,.629,1,,,,,292,223,.567,6,,,
Buzz Williams,Texas A&M,SEC,,25,10,.714,,17,Lost First Round,,2019-20,76,47,.618,1,,,,,329,202,.620,9,4,,
Corey Williams,Texas Tech,Big 12,,0,1,.000,25,,,,2022-23,0,1,.000,,,,,,58,134,.302,,,,
Mo Williams,Jackson State,SWAC,,14,19,.424,,,,,2022-23,14,19,.424,,,,,,28,54,.341,,,,
Andrew Wilson,VMI,Southern,,7,25,.219,,,,,2022-23,7,25,.219,,,,,,7,25,.219,,,,
Reggie Witherspoon,Canisius,MAAC,,10,20,.333,,,,,2016-17,94,112,.456,,,,,,292,340,.462,,,,
Sean Woods,Southern,SWAC,,15,17,.469,,,,,2018-19,64,82,.438,,,,,,191,232,.452,1,,,
Mike Woodson,Indiana,Big Ten,,23,12,.657,13,21,Lost Second Round,,2021-22,44,26,.629,2,,,,,44,26,.629,2,,,
Jeff Wulbrun,Denver,Summit,,15,17,.469,,,,,2021-22,26,38,.406,,,,,,26,38,.406,,,,
Luke Yaklich,UIC,MVC,,12,20,.375,,,,,2020-21,35,49,.417,,,,,,35,49,.417,,,,
Greg Young,UT Arlington,WAC,,9,16,.360,,,,,2021-22,20,34,.370,,,,,,20,34,.370,,,,
Jay Young,Fairfield,MAAC,,13,18,.419,,,,,2019-20,50,73,.407,,,,,,50,73,.407,,,,
Mike Young,Virginia Tech,ACC,,19,15,.559,,,,,2019-20,73,51,.589,2,,,,,372,295,.558,7,,,
Jaret von Rosenberg,Texas A&M-Commerce,Southland,,13,19,.406,,,,,2022-23,13,19,.406,,,,,,13,19,.406,,,,
