Coach,School,Conference,,W,L,W-L%,AP Pre,AP Post,NCAA Tournament,,Since,W,L,W-L%,NCAA,S16,FF,Chmp,,W,L,W-L%,NCAA,S16,FF,Chmp
Zac Claus,Idaho,Big Sky,,10,21,.323,,,,,2019-20,28,88,.241,,,,,,28,88,.241,,,,
Speedy Claxton,Hofstra,CAA,,25,10,.714,,,,,2021-22,46,21,.687,,,,,,46,21,.687,,,,
Flynn Clayman,Southern Utah,WAC,,2,1,.667,,,,,2022-23,2,1,.667,,,,,,2,1,.667,,,,
Jase Coburn,Portland State,Big Sky,,12,19,.387,,,,,2021-22,26,36,.419,,,,,,26,36,.419,,,,
Bill Coen,Northeastern,CAA,,10,20,.333,,,,,2006-07,270,264,.506,2,,,,,270,264,.506,2,,,
Jon Coffman,Purdue Fort Wayne,Horizon,,17,15,.531,,,,,2014-15,156,129,.547,,,,,,156,129,.547,,,,
Brian Collins,Tennessee State,OVC,,18,14,.562,,,,,2018-19,63,87,.420,,,,,,63,87,.420,,,,
Chris Collins,Northwestern,Big Ten,,23,12,.657,,,Lost Second Round,,2013-14,156,162,.491,2,,,,,156,162,.491,2,,,
Ed Conroy,The Citadel,Southern,,10,22,.312,,,,,2006-07,59,98,.376,,,,,,151,201,.429,,,,
Ed Cooley,Providence,Big East,,21,12,.636,,,Lost First Round,,2011-12,242,153,.613,7,1,,,,334,222,.601,7,1,,
Donald Copeland,Wagner,NEC,,15,13,.536,,,,,2022-23,15,13,.536,,,,,,15,13,.536,,,,
Ron Cottrell,Houston Christian,Southland,,10,22,.312,,,,,2008-09,147,308,.323,,,,,,147,308,.323,,,,
Tim Craft,Gardner-Webb,Big South,,15,16,.484,,,,,2013-14,171,150,.533,1,,,,,171,150,.533,1,,,
Jason Crafton,Maryland-Eastern Shore,MEAC,,18,13,.581,,,,,2019-20,34,56,.378,,,,,,34,56,.378,,,,
Matt Crenshaw,IUPUI,Horizon,,5,27,.156,,,,,2021-22,8,53,.131,,,,,,8,53,.131,,,,
Mick Cronin,UCLA,Pac-12,,31,6,.838,8,7,Lost Regional Semifinal,,2019-20,99,36,.733,3,3,1,,,464,207,.692,14,4,1,
Scott Cross,Troy,Sun Belt,,20,13,.606,,,,,2019-20,60,64,.484,,,,,,285,225,.559,1,,,
Rick Croy,California Baptist,WAC,,17,16,.515,,,,,2018-19,85,67,.559,,,,,,85,67,.559,,,,
Chris Crutchfield,Omaha,Summit,,9,23,.281,,,,,2022-23,9,23,.281,,,,,,9,23,.281,,,,
Carson Cunningham,Incarnate Word,Southland,,12,19,.387,,,,,2018-19,42,105,.286,,,,,,42,105,.286,,,,
Dan D'Antoni II,Marshall,Sun Belt,,24,8,.750,,,,,2014-15,164,128,.562,1,,,,,164,128,.562,1,,,
Keith Dambrot,Duquesne,A-10,,20,13,.606,,,,,2017-18,91,84,.520,,,,,,416,257,.618,3,,,
Scott Davenport,Bellarmine,A-Sun,,15,18,.455,,,,,2020-21,49,39,.557,,,,,,49,39,.557,,,,
Hubert Davis,UNC,ACC,,20,13,.606,1,,,,2021-22,49,23,.681,1,1,1,,,49,23,.681,1,1,1,
Kermit Davis Jr,Ole Miss,SEC,,10,18,.357,,,,,2018-19,74,79,.484,1,,,,,477,317,.601,6,,,
Mike Davis,Detroit Mercy,Horizon,,14,19,.424,,,,,2018-19,59,88,.401,,,,,,411,329,.555,9,1,1,
Nathan Davis,Bucknell,Patriot,,12,20,.375,,,,,2015-16,129,115,.529,2,,,,,129,115,.529,2,,,
Johnny Dawkins Jr,UCF,AAC,,19,15,.559,,,,,2016-17,131,87,.601,1,,,,,287,202,.587,2,1,,
Ed DeChellis,Navy,Patriot,,18,13,.581,,,,,2011-12,168,193,.465,,,,,,387,424,.477,2,,,
Travis DeCuire,Montana,Big Sky,,17,14,.548,,,,,2014-15,177,112,.612,2,,,,,177,112,.612,2,,,
Darian DeVries,Drake,MVC,,27,8,.771,,,Lost First Round,,2018-19,122,48,.718,2,,,,,122,48,.718,2,,,
Tom Devitt,Hartford,Ind,,5,23,.179,,,,,2022-23,5,23,.179,,,,,,5,23,.179,,,,
Dave Dickerson,USC Upstate,Big South,,16,16,.500,,,,,2018-19,55,97,.362,,,,,,123,181,.405,,,,
Jamie Dixon,TCU,Big 12,,22,13,.629,14,22,Lost Second Round,,2016-17,139,97,.589,3,,,,,467,220,.680,14,3,,
