Rk,Team,Seed,Date,PTS,,Opp,Opp Seed,Result,Round,Region,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1,Miami (FL),5,2023-03-26 NCAA,88,N,Texas,2,W 88-81,Rnd of 8,Midwest,200,29,49,.592,27,41,.659,2,8,.250,28,32,.875,88,30,60,.500,20,35,.571,10,25,.400,11,15,.733,81
2,Connecticut,4,2023-03-25 NCAA,82,N,Gonzaga,3,W 82-54,Rnd of 8,West,200,30,72,.417,19,41,.463,11,31,.355,11,14,.786,82,20,60,.333,18,40,.450,2,20,.100,12,22,.545,54
3,Texas,2,2023-03-26 NCAA,81,N,Miami (FL),5,L 81-88,Rnd of 8,Midwest,200,30,60,.500,20,35,.571,10,25,.400,11,15,.733,81,29,49,.592,27,41,.659,2,8,.250,28,32,.875,88
4,Florida Atlantic,9,2023-03-25 NCAA,79,N,Kansas State,3,W 79-76,Rnd of 8,East,200,26,54,.481,17,31,.548,9,23,.391,18,22,.818,79,27,58,.466,17,36,.472,10,22,.455,12,18,.667,76
5,Kansas State,3,2023-03-25 NCAA,76,N,Florida Atlantic,9,L 76-79,Rnd of 8,East,200,27,58,.466,17,36,.472,10,22,.455,12,18,.667,76,26,54,.481,17,31,.548,9,23,.391,18,22,.818,79
6,San Diego State,5,2023-03-26 NCAA,57,N,Creighton,6,W 57-56,Rnd of 8,South,200,25,66,.379,22,53,.415,3,13,.231,4,6,.667,57,22,55,.400,20,38,.526,2,17,.118,10,11,.909,56
7,Creighton,6,2023-03-26 NCAA,56,N,San Diego State,5,L 56-57,Rnd of 8,South,200,22,55,.400,20,38,.526,2,17,.118,10,11,.909,56,25,66,.379,22,53,.415,3,13,.231,4,6,.667,57
8,Gonzaga,3,2023-03-25 NCAA,54,N,Connecticut,4,L 54-82,Rnd of 8,West,200,20,60,.333,18,40,.450,2,20,.100,12,22,.545,54,30,72,.417,19,41,.463,11,31,.355,11,14,.786,82
