Rk,Team,Seed,Date,PTS,,Opp,Opp Seed,Result,Round,Region,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1,Connecticut,4,2023-04-03 NCAA,76,N,San Diego State,5,W 76-59,National Final,West,200,23,53,.434,17,36,.472,6,17,.353,24,27,.889,76,19,59,.322,13,36,.361,6,23,.261,15,20,.750,59
2,San Diego State,5,2023-04-01 NCAA,72,N,Florida Atlantic,9,W 72-71,National Semi,South,200,25,57,.439,16,39,.410,9,18,.500,13,22,.591,72,23,52,.442,14,30,.467,9,22,.409,16,21,.762,71
3,Connecticut,4,2023-04-01 NCAA,72,N,Miami (FL),5,W 72-59,National Semi,West,200,28,57,.491,19,31,.613,9,26,.346,7,13,.538,72,20,62,.323,13,42,.310,7,20,.350,12,12,1.000,59
4,Florida Atlantic,9,2023-04-01 NCAA,71,N,San Diego State,5,L 71-72,National Semi,East,200,23,52,.442,14,30,.467,9,22,.409,16,21,.762,71,25,57,.439,16,39,.410,9,18,.500,13,22,.591,72
5,San Diego State,5,2023-04-03 NCAA,59,N,Connecticut,4,L 59-76,National Final,South,200,19,59,.322,13,36,.361,6,23,.261,15,20,.750,59,23,53,.434,17,36,.472,6,17,.353,24,27,.889,76
6,Miami (FL),5,2023-04-01 NCAA,59,N,Connecticut,4,L 59-72,National Semi,Midwest,200,20,62,.323,13,42,.310,7,20,.350,12,12,1.000,59,28,57,.491,19,31,.613,9,26,.346,7,13,.538,72
